Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [CHIVI],Price [CHIVI],In stock [CHIVI],Low stock [CHIVI]
accompagnement-gari-pour-atassi,10032,Accompagnement Gari pour Atassi,STOCKS,,N,,,,,,,50,,,,N,Y,variable,,
aileron,10004,Aileron,STOCKS,,N,,,,,,,615,,,,N,Y,615,,
ajout-100,10054,Ajout 100,NOS PRODUITS,,N,,,,,,,0,,,,N,Y,100,,
alloco-aileron,10049,Alloco Aileron,NOS PRODUITS,<p>Aileron 900 Alloco 500 Plat 100 sachet 10 cuillere 15 bolle piment 12 = 1527</p>,N,,,,,,,1527,,,,N,Y,2000,,
atassi-1000f,10001,Atassi 1000F,NOS PRODUITS,<p>Plat emport&eacute; 80 Oeuf ou Fromage 100 Silivi 167 Friture 100 cuillere 15 Boite piment 12 Riz Portion 184 Haricots 50 Piment 14 Gari 25 Sachet 10 TOTAL 757</p>,N,,,,,,,757,,,,N,Y,1000,,
atassi,10011,"Atassi 1200 poisson, Fromage, Oeuf",NOS PRODUITS,<p>Plat emport&eacute; 80 Oeuf 100 Silivi 167 Friture 100 cuillere 15 Boite piment 12 Riz Portion 184 Haricots 50 Fromage 65 Piment 14 Gari 25 Sachet 10 TOTAL 822</p>,N,,,,,,,822,,,,N,Y,1200,,
atassi-aileron,10015,Atassi Aileron,NOS PRODUITS,<p>Plat emport&eacute; 80 Oeuf et Fromage 200 Friture 100 cuillere 15 Boite piment 12 Riz Portion 184 Haricots 50 Piment 14 Gari 25 Sachet 10 Aileron900 TOTAL 757 + Aileron 900= 1590</p>,N,,,,,,,1590,,,,N,Y,2000,,
atassi-aileron-demi-poisson-oeuf-fromage,10025,Atassi Aileron Demi poisson oeuf fromage,NOS PRODUITS,<p>884 de Atassi + 900 de Aileron: 1784</p>,N,,,,,,,1784,,,,N,Y,2500,,
atassi-cuisse-de-poulet,10044,Atassi cuisse de poulet,NOS PRODUITS,<p>Atassi &nbsp;884 + 700 cuisse de poulet</p>,N,,,,,,,1584,,,,N,Y,2000,,
atassi-poisson-complet,10046,Atassi Poisson complet,NOS PRODUITS,<p>Plat emport&eacute; 80 Oeuf ou Fromage 100 Silivi 167 Friture 100 cuillere 15 Boite piment 12 Riz Portion 184 Haricots 50 Piment 14 Gari 25 Sachet 10 TOTAL 757 + 500 Poisson complet =1250</p>,N,,,,,,,1250,,,,N,Y,1700,,
atcheke-aileron,10037,Atcheke Aileron,NOS PRODUITS,"<p>Atcheke: 228 Aileron: 900 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet 10 bol piment 15 cuillere 15 plat 80 &nbsp;TOTAL: 1584</p>",N,,,,,,,1584,,,,N,Y,2000,,
atcheke-avec-gros-poisson-coupe,10047,Atcheke avec gros poisson coupe,NOS PRODUITS,"<p>Atcheke: 228 Poisson: 200 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet bol piment plat 157 &nbsp;TOTAL: 956</p>",N,,,,,,,956,,,,N,Y,1200,,
atcheke-cuisse-de-poulet,10076,Atcheke Cuisse de poulet,NOS PRODUITS,"<p>Atcheke: 228 Cuisse de poulet: 700 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet 10 bol piment 15 cuillere 15 plat 80 &nbsp;TOTAL: 1584</p>",N,,,,,,,1384,,,,N,Y,2000,,
atcheke-demi-poisson,10022,Atcheke demi poisson,NOS PRODUITS,"<p>Atcheke: 150 Poisson: 167 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet 10 bol piment 15 Cuill&egrave;re 15 plat 45 &nbsp;TOTAL: 773</p>",N,,,,,,,773,,,,N,Y,1000,,
